season,castaway,winner,prob
1,Kelly,0,85.93
1,Richard,1,14.07
2,Colby,0,76.21
2,Tina,1,23.79
3,Kim J.,0,12.02
3,Ethan,1,87.98
4,Neleh,0,23.36
4,Vecepia,1,76.64
5,Clay,0,31.83
5,Brian,1,68.17
6,Matthew,0,12.8
6,Jenna,1,87.2
7,Lillian,0,18.02
7,Sandra,1,81.98
8,Rob M.,0,64.2
8,Amber,1,35.8
9,Twila,0,8.4
9,Chris,1,91.6
10,Katie,0,58.66
10,Tom,1,41.34
11,Stephenie,0,65.36
11,Danni,1,34.64
12,Danielle,0,56.51
12,Aras,1,43.49
13,Becky,0,27.07
13,Ozzy,0,64.22
13,Yul,1,8.71
14,Dreamz,0,74.69
14,Cassandra,0,9.13
14,Earl,1,16.18
15,Amanda,0,47.75
15,Courtney,0,35.76
15,Todd,1,16.49
16,Amanda,0,69.97
16,Parvati,1,30.03
17,Sugar,0,83.92
17,Susie,0,2.76
17,Bob,1,13.32
18,Stephen,0,20.06
18,J.T.,1,79.94
19,Mick,0,54.75
19,Russell H.,0,12.8
19,Natalie,1,32.45
20,Russell,0,10.8
20,Parvati,0,69.42
20,Sandra,1,19.78
21,Sash,0,16.42
21,Chase,0,41.88
21,Fabio,1,41.7
22,Natalie,0,39.21
22,Phillip,0,6.95
22,Rob,1,53.84
23,Albert,0,22
23,Coach,0,39.07
23,Sophie,1,38.93
24,Chelsea,0,41.8
24,Sabrina,0,26.47
24,Kim,1,31.73
25,Lisa,0,19.2
25,Michael,0,12.85
25,Denise,1,67.95
26,Sherri,0,41.89
26,Dawn,0,8.85
26,Cochran,1,49.26
27,Gervase,0,12.57
27,Monica,0,16.71
27,Tyson,1,70.72
28,Woo,0,87.26
28,Tony,1,12.74
29,Missy,0,4.9
29,Jaclyn,0,67.94
29,Natalie,1,27.16
30,Will,0,61.85
30,Carolyn,0,14.32
30,Mike,1,23.83
31,Spencer,0,91.51
31,Tasha,0,4.01
31,Jeremy,1,4.48
32,Tai,0,3.47
32,Aubry,0,33.29
32,Michele,1,63.24
33,Hannah,0,28.88
33,Ken,0,40.53
33,Adam,1,30.59
34,Troyzan,0,29.11
34,Brad,0,42.75
34,Sarah,1,28.14
35,Ryan,0,48.1
35,Chrissy,0,31.55
35,Ben,1,20.35
36,Laurel,0,49.58
36,Domenick,0,34.12
36,Wendell,1,16.3
37,Angelina,0,34.14
37,Mike,0,2.27
37,Nick,1,63.59
38,Julie,0,11.6
38,Gavin,0,69.87
38,Chris,1,18.53
39,Noura,0,18.42
39,Dean,0,37.13
39,Tommy,1,44.45
40,Michele,0,45.08
40,Natalie,0,32.55
40,Tony,1,22.37
